م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
68 | 68 | 67 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 68 | ص067 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
69 | 69 | 68 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الفرنسي | PDF page 69 | ص068 - الحركات الوطنية والتحرر من الاستعمار الفرنسي.jpg
70 | 70 | 69 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الإيطالي | PDF page 70 | ص069 - الحركات الوطنية والتحرر من الاستعمار الإيطالي.jpg
71 | 71 | 70 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الإيطالي | PDF page 71 | ص070 - الحركات الوطنية والتحرر من الاستعمار الإيطالي.jpg
72 | 72 | 71 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الإيطالي | PDF page 72 | ص071 - الحركات الوطنية والتحرر من الاستعمار الإيطالي.jpg
73 | 73 | 72 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الإيطالي | PDF page 73 | ص072 - الحركات الوطنية والتحرر من الاستعمار الإيطالي.jpg
74 | 74 | 73 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار الإيطالي | PDF page 74 | ص073 - الحركات الوطنية والتحرر من الاستعمار الإيطالي.jpg
75 | 75 | 74 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 75 | ص074 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
76 | 76 | 75 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 76 | ص075 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
77 | 77 | 76 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 77 | ص076 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
78 | 78 | 77 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 78 | ص077 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
79 | 79 | 78 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 79 | ص078 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
80 | 80 | 79 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 80 | ص079 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
81 | 81 | 80 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 81 | ص080 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
82 | 82 | 81 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | ثورة 23 يوليو وحركات التحرر والاستقلال | PDF page 82 | ص081 - ثورة 23 يوليو وحركات التحرر والاستقلال.jpg
83 | 83 | 82 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 83 | ص082 - الحركة الوطنية والقضية الفلسطينية.jpg
84 | 84 | 83 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 84 | ص083 - الحركة الوطنية والقضية الفلسطينية.jpg
85 | 85 | 84 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركة الوطنية والقضية الفلسطينية | PDF page 85 | ص084 - الحركة الوطنية والقضية الفلسطينية.jpg
